key,max_price,bookmaker,mean_price,threshold,sample_size,above_threshold,consensus_prob,implied_prob,prob_diff
Collin Gillespie_Over_player_assists_4.5,1.87,PointsBet (AU),1.731875,1.7855677990206011,16,0.08443220097939896,57.740887766149406,53.475935828877,-4.264951937272407
Devin Booker_Under_player_points_19.5,2.12,BetRivers,1.9463636363636363,2.066552881079853,11,0.05344711892014731,51.37786081270435,47.16981132075472,-4.20804949194963
De'Aaron Fox_Over_player_rebounds_3.5,2.05,BetMGM,1.8873333333333335,1.9473888631925118,15,0.10261113680748801,52.98481102084069,48.78048780487805,-4.2043232159626385
Jalen Williams_Over_player_assists_alternate_3.5,1.27,Hard Rock Bet,1.2063636363636365,1.2419368642949693,11,0.028063135705030717,82.8937452901281,78.74015748031496,-4.153587809813132
De'Aaron Fox_Over_player_points_23.5,2.11,Pinnacle,1.9416666666666667,2.0085224590088187,12,0.10147754099118123,51.502145922746784,47.39336492890995,-4.108780993836831
Grayson Allen_Over_player_rebounds_alternate_3.5,2.4,Ladbrokes,2.1846666666666663,2.2558672552142607,15,0.14413274478573923,45.77357339029601,41.66666666666667,-4.106906723629336
Devin Booker_Over_player_assists_alternate_5.5,1.7,Ladbrokes,1.5891666666666664,1.647547599627123,12,0.05245240037287702,62.92606187729419,58.82352941176471,-4.102532465529478
Aaron Wiggins_Over_player_rebounds_alternate_3.5,2.86,FanDuel,2.562,2.7770348808914496,10,0.08296511910855031,39.032006245121,34.96503496503497,-4.066971280086037
Harrison Barnes_Over_player_points_alternate_9.5,1.44,Ladbrokes,1.3605882352941177,1.4247628591959465,17,0.015237140804053473,73.49762213575443,69.44444444444444,-4.053177691309983
Luke Kornet_Over_player_rebounds_alternate_5.5,1.52,DraftKings,1.431875,1.4879961487171578,16,0.03200385128284222,69.83849847228285,65.78947368421052,-4.04902478807233
Luka Doncic_Over_player_points_32.5,1.91,theScore Bet,1.7730000000000001,1.839173173483587,10,0.07082682651641292,56.40157924421884,52.35602094240838,-4.045558301810459
Keldon Johnson_Over_player_rebounds_alternate_5.5,2.36,DraftKings,2.1568750000000003,2.2960017407797655,16,0.06399825922023439,46.363372935381044,42.37288135593221,-3.990491579448836
